,category,concept_eng,concept,n_concept,n_concept_list,list,exemplar,count,avg_rank_order,dominance,min_rank,max_rank,first_occur,availability_montefinese,availability,outliers,classif,n_exemplars,llama3.1-70b,mixtral
43,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_riccio,19,2.631578947368421,0.59375,1,9,0.25,0.4974950348259664,0.4257682323024839,False,many_exemplars,18,5.799935817718506,11.08193588256836
38,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_liscio,20,3.3,0.625,1,10,0.125,0.4938877183261233,0.4080896219521995,False,many_exemplars,18,5.975722312927246,10.90517807006836
33,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_biondo,15,4.333333333333333,0.46875,1,11,0.09375,0.2909318349600177,0.2489123896434411,False,many_exemplars,18,5.860161781311035,9.866097450256348
41,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_mosso,10,4.7,0.3125,2,12,0.0,0.1513032678652041,0.1687594344314456,False,many_exemplars,18,6.279933452606201,10.046510696411133
44,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_rosso,13,5.307692307692308,0.40625,3,10,0.0,0.1918649280008593,0.1536121870002291,False,many_exemplars,18,6.1352105140686035,11.586442947387695
35,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_castano,11,6.272727272727272,0.34375,2,13,0.0,0.1234186883718579,0.1430983315541602,False,many_exemplars,18,6.326298236846924,9.941742897033691
36,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_corto,6,5.0,0.1875,1,13,0.0625,0.08746375329785816,0.1133127875817133,False,many_exemplars,18,6.078371047973633,10.698284149169922
39,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_lungo,6,5.5,0.1875,1,14,0.03125,0.06411581774174376,0.1042667549243379,False,many_exemplars,18,6.029323577880859,10.588546752929688
37,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_grasso,6,4.0,0.1875,1,8,0.0625,0.08974238722541211,0.1002207360689225,False,many_exemplars,18,6.113430500030518,11.393291473388672
46,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_sottile,7,6.0,0.21875,2,11,0.0,0.06335311355045839,0.09199809419118764,False,many_exemplars,18,5.964284896850586,10.306004524230957
45,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_secco,6,6.0,0.1875,2,13,0.0,0.04849919068069201,0.08903923237859794,False,many_exemplars,18,6.195904731750488,10.117347717285156
31,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_berretto,5,2.4,0.15625,1,4,0.0625,0.08785770595409391,0.07912153157875573,False,many_exemplars,18,5.771717071533203,10.295127868652344
47,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_spesso,6,5.5,0.1875,1,10,0.03125,0.0532225112051929,0.07870698375180059,False,many_exemplars,18,6.261885643005371,11.562325477600098
42,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_nero,8,5.875,0.25,2,8,0.0,0.0664137135985325,0.0664137135985325,False,many_exemplars,18,6.0557637214660645,10.226673126220703
34,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_bombetta,4,3.25,0.125,1,5,0.03125,0.04258281491699616,0.04984589577733611,False,many_exemplars,18,6.42195463180542,11.219873428344727
40,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_moro,5,5.4,0.15625,2,8,0.0,0.02646572251921917,0.047689603245287,False,many_exemplars,18,6.212338924407959,10.58273696899414
48,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_tinto,6,5.5,0.1875,4,8,0.0,0.02887621202980153,0.04759981550238344,False,many_exemplars,18,6.116941928863525,11.11837100982666
32,BODY PARTS,hair,CAPELLO,25,12,2,CAPELLO_bianco,5,7.6,0.15625,5,10,0.0,0.005418360791295404,0.03156750009491838,False,many_exemplars,18,5.982041358947754,10.340685844421387
56,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_da ginnastica,19,2.0,0.59375,1,13,0.4375,0.5454934558428972,0.5325488723123026,False,many_exemplars,21,5.752976894378662,9.009262084960938
53,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_col tacco,22,4.045454545454546,0.6875,1,9,0.0625,0.5069868772240056,0.3426831071338104,False,many_exemplars,21,6.309527397155762,10.939406394958496
66,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_sneakers,13,2.384615384615385,0.40625,1,8,0.21875,0.3304866471638606,0.3001004947859133,False,many_exemplars,21,5.853045463562012,9.098847389221191
68,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_stivali,18,4.666666666666667,0.5625,2,8,0.0,0.3540625925287717,0.203458068703094,False,many_exemplars,21,5.620700836181641,8.860313415527344
59,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_elegante,10,4.5,0.3125,1,15,0.03125,0.170498512567302,0.2024677758706981,False,many_exemplars,21,5.888030052185059,9.62673282623291
64,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_sandali,13,6.0,0.40625,3,12,0.0,0.1761109857546035,0.1649227616367982,False,many_exemplars,21,6.096866130828857,8.774209976196289
50,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_ballerine,14,6.428571428571429,0.4375,1,11,0.03125,0.1908990125202369,0.1565060391925132,False,many_exemplars,21,5.7924418449401855,9.416059494018555
54,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_da calcio,10,7.4,0.3125,2,17,0.0,0.1029615317025688,0.1513964110107879,False,many_exemplars,21,5.886139869689941,11.170108795166016
62,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_mocassino,10,5.1,0.3125,1,10,0.03125,0.145716211248816,0.145716211248816,False,many_exemplars,21,5.575392723083496,8.735054016113281
63,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_pantofole,8,5.625,0.25,2,12,0.0,0.08791126529999635,0.1173089385330232,False,many_exemplars,21,5.5979413986206055,7.70319938659668
61,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_infradito,9,6.888888888888889,0.28125,3,12,0.0,0.06563671415291863,0.09365761060232758,False,many_exemplars,21,5.718969345092773,9.376051902770996
57,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_da tennis,5,3.6,0.15625,1,9,0.03125,0.068938445103428,0.09299391087836552,False,many_exemplars,21,6.312226295471191,10.896750450134277
55,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_da corsa,5,4.2,0.15625,2,9,0.0,0.04851116207688756,0.07749605048283677,False,many_exemplars,21,5.9093828201293945,10.552655220031738
51,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_bassa,4,5.75,0.125,1,10,0.03125,0.04583045597559402,0.06171886861890286,False,many_exemplars,21,6.071542263031006,10.353779792785645
49,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_alta,5,5.6,0.15625,1,9,0.03125,0.04057923646828029,0.06060187360052582,False,many_exemplars,21,6.037210941314697,11.086586952209473
60,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_espadrillas,5,9.0,0.15625,6,17,0.0,0.004835337204127916,0.0566788520287894,False,many_exemplars,21,5.937005996704102,9.789963722229004
69,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_stringata,4,9.25,0.125,2,16,0.0,0.01461707105165927,0.0469671760921403,False,many_exemplars,21,6.251179218292236,10.906112670898438
58,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_da trekking,4,5.25,0.125,1,8,0.03125,0.03274826288766694,0.04647225165386215,False,many_exemplars,21,6.086667060852051,10.361719131469727
67,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_stivaletti,5,9.8,0.15625,4,14,0.0,0.00670863562950509,0.04138941744629317,False,many_exemplars,21,5.562463283538818,9.156806945800781
65,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_scarponi,5,8.4,0.15625,6,11,0.0,0.003946030432904143,0.03188473634200543,False,many_exemplars,21,5.770357608795166,9.788405418395996
52,CLOTHES,shoe,SCARPA,147,4,2,SCARPA_ciabatta,5,8.8,0.15625,6,11,0.0,0.003901689297328973,0.02999928149714853,False,many_exemplars,21,5.919713497161865,10.755151748657227
95,FOODS,pasta,PASTA,122,9,8,PASTA_spaghetti,23,3.565217391304348,0.71875,1,13,0.125,0.5679972243981783,0.4845883272282287,False,many_exemplars,31,5.874788284301758,8.330610275268555
77,FOODS,pasta,PASTA,122,9,8,PASTA_fusilli,16,5.9375,0.5,1,22,0.1875,0.306690939362897,0.3382583463092003,False,many_exemplars,31,5.7408976554870605,8.619357109069824
74,FOODS,pasta,PASTA,122,9,8,PASTA_farfalle,17,6.705882352941177,0.53125,1,21,0.125,0.2949963322259679,0.3224721030800622,False,many_exemplars,31,5.911238670349121,8.752346992492676
89,FOODS,pasta,PASTA,122,9,8,PASTA_penne,13,3.692307692307693,0.40625,1,12,0.03125,0.2683131857691416,0.260195598234262,False,many_exemplars,31,5.8940839767456055,9.073746681213379
