availability,llama3.1,llama3.2,mistral,llava,idefics2,nemo,llama3.1-70b,mixtral
1.0,-1.0,1.0,1.0000000000000033,1.0,1.0,-1.0000000000000002,-1.0,-1.0000000000000009
-1.0,1.0,-1.0,-1.0000000000000033,-1.0,-1.0,1.0,1.0,1.000000000000001
1.0,-1.0,1.0,1.0000000000000033,1.0,1.0,-1.0,-1.0,-1.0000000000000009
1.0000000000000033,-1.0000000000000033,1.0000000000000033,1.0,0.9999999999999966,0.9999999999999967,-0.9999999999999966,-0.9999999999999967,-0.9999999999999977
1.0,-1.0,1.0,0.9999999999999966,1.0,1.0,-1.0,-1.0,-1.000000000000001
1.0,-1.0,1.0,0.9999999999999967,1.0,1.0,-1.0,-1.0,-1.000000000000001
-1.0000000000000002,1.0,-1.0,-0.9999999999999966,-1.0,-1.0,1.0,1.0,1.000000000000001
-1.0,1.0,-1.0,-0.9999999999999967,-1.0,-1.0,1.0,1.0,1.0000000000000009
-1.0000000000000009,1.000000000000001,-1.0000000000000009,-0.9999999999999977,-1.000000000000001,-1.000000000000001,1.000000000000001,1.0000000000000009,1.0
